episode,step,rtt,jitter,packet_loss,crc_errors,interface_errors,interface_flaps,utilization,label,ttf_ms
0,0,16.09,1.8,0.0,7,7,0,28.66,1,4000.0
0,1,17.56,1.08,0.47,9,9,0,28.67,1,3900.0
0,2,17.39,2.43,0.41,10,10,0,28.74,1,3800.0
0,3,17.48,2.76,0.56,11,11,0,28.87,1,3700.0
0,4,15.7,2.38,1.35,12,12,0,29.09,1,3600.0
0,5,15.21,2.43,0.6,15,15,0,29.42,1,3500.0
0,6,16.11,2.98,1.74,18,18,0,29.88,1,3400.0
0,7,17.22,3.31,1.24,20,20,0,30.48,1,3300.0
0,8,18.74,4.39,2.09,23,23,0,31.25,1,3200.0
0,9,21.15,4.5,2.05,25,25,0,32.2,1,3100.0
0,10,21.89,5.79,2.24,27,27,0,33.35,1,3000.0
0,11,24.0,7.1,2.85,30,30,0,34.71,1,2900.0
0,12,24.83,9.06,2.85,34,34,0,36.31,2,917.9
0,13,27.57,11.1,4.22,38,39,0,38.15,2,1196.0
0,14,29.38,12.65,4.68,40,41,0,40.25,2,1050.4
0,15,30.68,14.01,5.69,44,45,0,42.64,2,810.2
0,16,35.51,16.01,5.55,49,50,1,45.32,2,849.7
0,17,39.92,18.46,6.87,54,55,1,48.3,2,637.9
0,18,43.24,21.21,6.99,58,60,1,51.61,2,440.7
0,19,46.19,23.97,6.86,63,65,2,55.26,2,570.8
1,0,15.09,1.38,0.33,4,4,0,32.33,1,5399.7
1,1,14.8,1.61,0.29,4,4,0,32.42,1,5980.5
1,2,14.88,1.3,0.22,4,4,0,32.61,1,5606.7
1,3,15.92,1.26,0.06,5,5,0,32.9,1,5734.2
1,4,16.45,0.83,0.24,6,6,0,33.28,1,5192.9
1,5,18.15,1.11,0.7,7,7,0,33.76,1,4781.5
1,6,19.6,1.39,0.46,8,8,0,34.33,1,5019.8
1,7,20.22,2.06,0.83,9,9,0,34.99,1,4668.4
1,8,21.21,2.23,0.86,10,10,0,35.76,1,4658.4
1,9,22.22,2.25,0.7,10,10,0,36.61,1,4699.8
1,10,22.92,2.41,1.09,10,10,0,37.57,1,4955.0
1,11,24.01,2.96,1.1,11,12,0,38.61,1,4058.4
1,12,24.04,3.34,1.37,11,12,0,39.76,1,3956.3
1,13,24.43,3.79,1.49,11,12,0,40.99,1,3939.5
1,14,25.75,4.54,1.82,12,13,0,42.33,1,3734.4
1,15,27.19,5.39,1.78,12,13,0,43.76,1,3876.8
1,16,28.08,6.3,1.45,13,14,0,45.28,1,3422.8
1,17,28.69,6.95,1.97,13,14,0,46.9,1,3367.5
1,18,30.01,7.68,1.94,14,15,0,48.61,1,3326.9
1,19,31.28,8.55,2.29,14,15,0,50.42,1,3281.1
1,20,32.86,8.88,2.13,15,16,0,52.33,1,3120.9
2,0,13.32,1.82,0.0,1,1,0,30.2,1,4000.0
2,1,14.82,2.14,1.2,2,2,0,30.23,1,3900.0
2,2,14.84,2.74,0.69,3,3,0,30.33,1,3800.0
2,3,15.33,3.25,0.66,4,4,0,30.55,1,3700.0
2,4,14.38,3.65,0.0,7,7,0,30.92,1,3600.0
2,5,15.03,3.58,1.39,9,9,0,31.48,1,3500.0
2,6,16.31,4.75,2.01,11,11,0,32.25,1,3400.0
2,7,17.51,5.83,2.67,13,13,0,33.26,1,3300.0
2,8,19.16,6.49,3.18,17,17,0,34.55,1,3200.0
2,9,19.65,7.43,3.63,21,21,0,36.15,2,1389.3
2,10,23.87,8.71,6.0,25,26,0,38.07,2,1153.3
2,11,25.67,10.51,5.51,28,29,0,40.36,2,1139.0
2,12,27.65,12.17,5.16,32,33,1,43.04,2,1041.5
2,13,31.27,13.56,7.42,36,37,1,46.13,2,930.5
2,14,34.96,17.15,7.52,42,44,2,49.66,2,920.6
3,0,12.34,0.61,0.0,0,0,0,36.8,0,10000.0
3,1,12.14,0.51,0.0,0,0,0,38.68,0,10000.0
3,2,12.73,0.63,0.0,0,0,0,37.36,0,10000.0
3,3,13.18,0.64,0.0,0,0,0,37.6,0,10000.0
3,4,12.66,0.36,0.0,0,0,0,38.25,0,10000.0
3,5,13.35,0.2,0.0,0,0,0,34.92,0,10000.0
3,6,13.85,0.22,0.0,0,0,0,35.38,0,10000.0
3,7,14.71,0.36,0.0,0,0,0,35.16,0,10000.0
3,8,14.34,0.39,0.0,0,0,0,35.14,0,10000.0
3,9,14.58,0.71,0.0,0,0,0,35.47,0,10000.0
3,10,14.09,0.75,0.0,0,0,0,33.99,0,10000.0
3,11,14.87,0.91,0.0,0,0,0,32.9,0,10000.0
3,12,15.06,1.07,0.0,0,0,0,33.63,0,10000.0
3,13,15.03,1.1,0.0,0,0,0,32.86,0,10000.0
3,14,15.45,1.16,0.0,0,0,0,32.27,0,10000.0
3,15,16.27,1.27,0.0,0,0,0,34.67,0,10000.0
3,16,16.16,1.08,0.0,0,0,0,36.33,0,10000.0
3,17,16.4,1.28,0.0,0,0,0,36.44,0,10000.0
3,18,15.77,1.18,0.0,1,1,0,37.72,0,10000.0
3,19,15.27,0.97,0.0,1,1,0,36.37,0,10000.0
3,20,14.79,0.99,0.0,1,1,0,37.32,0,10000.0
3,21,15.44,0.85,0.0,1,1,0,34.94,0,10000.0
3,22,15.38,0.71,0.0,1,1,0,38.76,0,10000.0
3,23,15.43,0.56,0.0,1,1,0,38.62,0,10000.0
4,0,7.77,2.8,0.32,5,5,0,40.37,1,4000.0
4,1,8.84,3.29,0.0,8,8,0,40.39,1,3900.0
4,2,8.92,2.64,0.25,10,10,0,40.43,1,3800.0
4,3,9.16,2.23,0.72,11,11,0,40.53,1,3700.0
